Sl_No,Transmission_Type,Ownership,Fuel_Used,km_driven,Ex_Showroom_Price,On_road_Price,selling_price,Place_of_Origin,Complete_Info,Age,MRP
2299,""" Manual""",""" 1st Owner""", Petrol,28908,NULL,437000.0,361799, Kolkata, 2015 Maruti Wagon R 1.0 VXI Manual,7,437000.0
2300,""" Manual""",""" 1st Owner""", Petrol,1717,NULL,428000.0,341599, Kolkata, 2020 Maruti Alto VXI Manual,2,428000.0
2301,""" Manual""",""" 1st Owner""", Petrol,43986,NULL,892000.0,625299, Kolkata, 2018 Maruti Ciaz ZETA 1.4 VVT Manual,4,892000.0
2302,""" Manual""",""" 1st Owner""", Petrol,50323,NULL,599000.0,594099, Kolkata, 2018 Maruti Dzire VXI Manual,4,599000.0
2303,""" Manual""",""" 1st Owner""", Petrol,28936,NULL,599000.0,564299, Kolkata, 2018 Maruti Dzire VXI Manual,4,599000.0
2304,""" Manual""",""" 1st Owner""", Petrol,52776,NULL,385000.0,313999, Kolkata, 2014 Maruti Wagon R 1.0 VXI Manual,8,385000.0
2305,""" Manual""",""" 1st Owner""", Petrol,23016,NULL,599000.0,711499, Kolkata, 2019 Maruti Dzire VXI Manual,3,599000.0
2306,""" Manual""",""" 1st Owner""", Petrol,25759,NULL,681000.0,542799, Kolkata, 2018 Maruti Baleno DELTA 1.2 K12 Manual,4,681000.0
2307,""" Automatic""",""" 1st Owner""", Petrol,20545,NULL,517000.0,455299, Kolkata, 2018 Maruti Wagon R 1.0 VXI AMT Automatic,4,517000.0
2308,""" Manual""",""" 1st Owner""", Petrol,59197,NULL,908000.0,560299, Kolkata, 2016 Hyundai i20 Active 1.2 S Manual,6,908000.0
2309,""" Manual""",""" 1st Owner""", Petrol,7834,NULL,345000.0,305599, Kolkata, 2019 Maruti Alto 800 LXI Manual,3,345000.0
2310,""" Manual""",""" 1st Owner""", Petrol,10474,NULL,345000.0,344999, Kolkata, 2019 Maruti Alto LXI Manual,3,345000.0
2311,""" Manual""",""" 1st Owner""", Petrol,46069,NULL,393000.0,382099, Kolkata, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
2312,""" Manual""",""" 1st Owner""", Petrol,7142,NULL,326000.0,325299, Kolkata, 2019 Maruti Alto 800 VXI Manual,3,326000.0
2313,""" Manual""",""" 1st Owner""", Petrol,26354,376000.0,NULL,398199, Kolkata, 2018 Datsun Go Plus T Manual,4,451200.0
2314,""" Manual""",""" 1st Owner""", Petrol,3859,NULL,619000.0,537899, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
