,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
211,Manual,1st Owner,Petrol,5116,429299,Noida,2021 Maruti Alto LXI OPT Manual,1
212,Manual,1st Owner,Petrol,45605,494099,Noida,2016 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,6
213,Automatic,1st Owner,Petrol,4437,1095199,Noida,2020 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT Automatic,2
214,Manual,1st Owner,Petrol,16228,713999,Noida,2016 Ford Ecosport 1.5 TITANIUM TI VCT Manual,6
215,Manual,1st Owner,Diesel,60651,435199,Noida,2013 Hyundai Verna FLUIDIC 1.6 CRDI SX OPT Manual,9
216,Manual,1st Owner,Petrol,22733,451899,Noida,2017 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,5
217,Manual,1st Owner,Diesel,39473,1083799,Noida,2018 Hyundai Creta 1.6 SX CRDI Manual,4
218,Manual,1st Owner,Petrol,71903,478399,Noida,2014 Ford Ecosport 1.5AMBIENTE TI VCT Manual,8
219,Manual,1st Owner,Petrol,28648,815999,Noida,2018 Ford Ecosport 1.5 TITANIUM TI VCT Manual,4
220,Manual,1st Owner,Diesel,12456,1874599,Noida,2021 Tata Safari XM 2.0 KRYOTEC Manual,1
221,Manual,2nd Owner,Petrol,24693,558999,Noida,2019 Maruti Baleno SIGMA 1.2 K12 Manual,3
222,Automatic,1st Owner,Petrol,11365,1277299,Noida,2020 Honda City VX CVT PETROL Automatic,2
223,Manual,1st Owner,Diesel,48118,307499,Noida,2013 Honda Amaze 1.5 EMT I DTEC Manual,9
224,Manual,1st Owner,Petrol,30809,546399,Noida,2016 Maruti Baleno DELTA 1.2 K12 Manual,6
225,Manual,1st Owner,Petrol,36417,892499,Noida,2019 Hyundai VENUE 1.0L Turbo GDI SX MT Manual,3
226,Manual,1st Owner,Petrol,38522,323499,Noida,2018 Maruti Alto 800 LXI Manual,4
227,Manual,1st Owner,Petrol,41202,525699,Noida,2018 Ford Figo Aspire 1.2 TITANIUM PETROL Manual,4
228,Automatic,1st Owner,Petrol,11741,1138399,Noida,2020 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,2
229,Manual,2nd Owner,Petrol,29335,414999,Noida,2014 Maruti Swift VXI Manual,8
230,Manual,1st Owner,Petrol,78882,495899,Noida,2014 Ford Ecosport 1.5 TREND TI VCT Manual,8
231,Manual,1st Owner,Petrol,20330,524799,Noida,2018 Maruti Baleno SIGMA 1.2 K12 Manual,4
232,Manual,1st Owner,Diesel,27328,693199,Noida,2016 Maruti Ciaz ZDI+ SHVS Manual,6
233,Manual,2nd Owner,Diesel,116379,783999,Noida,2015 Mahindra XUV500 W10 Manual,7
234,Manual,2nd Owner,Petrol,63088,534699,Noida,2016 Nissan Terrano XL P Manual,6
