,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
108,Manual,1st Owner,Petrol,63990,486899,Hyderabad,2018 Maruti Wagon R 1.0 VXI Manual,4
109,Manual,2nd Owner,Petrol,76694,312599,Hyderabad,2017 Maruti Alto 800 LXI Manual,5
110,Manual,2nd Owner,Petrol,41628,516299,Hyderabad,2017 Maruti IGNIS DELTA 1.2 K12 Manual,5
111,Manual,2nd Owner,Petrol,83526,506099,Hyderabad,2017 Maruti IGNIS ALPHA 1.2 K12 Manual,5
112,Automatic,1st Owner,Petrol,20666,1172599,Hyderabad,2021 Skoda Rapid 1.0 AMBITION TSI AT Automatic,1
113,Manual,2nd Owner,Petrol,60066,511799,Hyderabad,2017 Maruti IGNIS DELTA 1.2 K12 Manual,5
114,Manual,2nd Owner,Petrol,68055,520499,Hyderabad,2017 Maruti IGNIS ZETA 1.2 K12 Manual,5
115,Manual,1st Owner,Petrol,23878,536899,Hyderabad,2017 Maruti IGNIS ZETA 1.2 K12 Manual,5
116,Manual,1st Owner,Petrol,5855,486599,Hyderabad,2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3
117,Manual,1st Owner,Petrol,79156,336699,Hyderabad,2018 Maruti Alto 800 LXI Manual,4
118,Manual,1st Owner,Petrol,79502,520199,Hyderabad,2017 Maruti IGNIS ALPHA 1.2 K12 DUAL TONE Manual,5
119,Automatic,1st Owner,Petrol,51914,822599,Hyderabad,2018 Maruti Ciaz ALPHA 1.4 VVT AMT Automatic,4
120,Manual,1st Owner,Petrol,52409,344999,Hyderabad,2019 Maruti Alto LXI Manual,3
121,Manual,1st Owner,Petrol,109693,593699,Hyderabad,2017 Hyundai i20 Active 1.2 S Manual,5
122,Manual,1st Owner,Petrol,26120,413999,Hyderabad,2018 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,4
123,Manual,1st Owner,Petrol,36510,336699,Hyderabad,2018 Maruti Alto 800 LXI Manual,4
124,Manual,1st Owner,Petrol,59553,636899,Hyderabad,2017 Maruti Baleno ZETA 1.2 K12 Manual,5
125,Automatic,1st Owner,Petrol,12115,1085199,Hyderabad,2019 Toyota YARIS G CVT Automatic,3
126,Manual,1st Owner,Petrol,13496,430899,Hyderabad,2021 Maruti Alto VXI Manual,1
127,Manual,1st Owner,Diesel,88825,896299,Hyderabad,2018 Maruti S Cross ZETA 1.3 SHVS Manual,4
128,Manual,1st Owner,Petrol,18271,356299,Hyderabad,2019 Maruti Alto LXI Manual,3
129,Manual,1st Owner,Petrol,61387,829199,Hyderabad,2018 Toyota YARIS J MT Manual,4
130,Manual,1st Owner,Petrol,79214,428599,Hyderabad,2015 Toyota Etios Liva G Manual,7
131,Manual,1st Owner,Petrol,82985,373199,Hyderabad,2017 Renault Kwid RXL Manual,5
132,Manual,1st Owner,Petrol,22434,643399,Hyderabad,2019 Ford New Figo 1.2 TITANIUM BLU Manual,3
133,Manual,2nd Owner,Petrol,56588,528099,Hyderabad,2016 Volkswagen Polo COMFORTLINE 1.2L PETROL Manual,6
134,Manual,1st Owner,Petrol,33644,638599,Hyderabad,2021 Maruti New  Wagon-R ZXI 1.2 Manual,1
135,Manual,2nd Owner,Diesel,59637,446599,Hyderabad,2013 Hyundai i20 MAGNA O 1.4 CRDI Manual,9
136,Manual,1st Owner,Petrol,81208,511799,Hyderabad,2016 Maruti Swift VXI OPT Manual,6
137,Automatic,1st Owner,Diesel,12622,2080899,Hyderabad,2021 Tata Harrier XZA Automatic,1
138,Manual,1st Owner,Petrol,4364,1068599,Hyderabad,2021 Tata NEXON XZ 1.2 Manual,1
139,Manual,1st Owner,Petrol,77836,582199,Hyderabad,2015 Honda Jazz 1.2 VX I-VTECH Manual,7
140,Manual,3rd Owner,Petrol,82089,586799,Hyderabad,2015 Honda Jazz 1.2 VX I-VTECH Manual,7
141,Manual,1st Owner,Petrol,29002,312499,Hyderabad,2016 Hyundai Eon MAGNA PLUS Manual,6
142,Manual,1st Owner,Petrol,68962,263899,Hyderabad,2013 Maruti Alto 800 LXI Manual,9
143,Manual,2nd Owner,Diesel,130229,449099,Hyderabad,2012 Maruti Swift Dzire VDI BS IV Manual,10
144,Manual,2nd Owner,Petrol,24834,297499,Hyderabad,2011 Maruti Wagon R 1.0 VXI Manual,11
145,Manual,2nd Owner,Petrol,11384,496599,Hyderabad,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
146,Automatic,1st Owner,Petrol,16714,1107599,Hyderabad,2021 Volkswagen Polo GT TSI AT 1.0 Automatic,1
147,Manual,2nd Owner,Petrol,31886,604199,Hyderabad,2018 Ford FREESTYLE TITANIUM 1.2 TI-VCT MT Manual,4
148,Automatic,1st Owner,Petrol,16870,1093999,Hyderabad,2020 Maruti Vitara Brezza VXI AMT SHVS Automatic,2
149,Manual,1st Owner,Petrol,36085,583199,Hyderabad,2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,4
150,Manual,1st Owner,Diesel,40594,1014999,Hyderabad,2019 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,3
